OMNIvalue,k
55,80.16
56,70.04
60,77.04
77,75.39
95,73.01
99,71.46
88,75.13
527,72.98
509,68.29
371,73.67
632,77.55
334,74.91
328,76.5
165,70.62
417,75.51
387,77.81
319,77.6
170,72.73
211,80.79
275,71.95
267,76.57
295,75.18
293,72.13
460,72.35
408,75.66
129,75.83
67,74.66
73,75.54
223,74.82
393,69.17
226,74.49
263,72.53
254,72.01
215,75.18
274,76.76
284,75.98
176,70.8
160,80.28
223,71.09
215,78.96
236,78.03
212,70.11
300,73.68
176,74.48
104,74.65
80,71.38
296,72.63
276,71.77
253,74.8
207,71.26
267,73.42
224,72.64
185,74.88
153,75.69
242,71.91
91,78.91
104,72.74
224,76.26
547,67.45
538,72.39
380,78.35
290,67.85
300,78.14
173,77.04
364,79.67
459,73.75
256,70.28
162,71.48
149,69.03
98,73.32
259,73.7
258,74.39
107,73.26
196,74.38
302,79.07
133,78.85
72,78.27
98,82.98
83,69.88
115,76.14
71,82.92
112,73.86
70,79.76
71,74.48
169,82.13
442,78.35
125,78.93
51,77.05
93,75.21
218,72.48
251,73.98
326,72.26
144,75.28
101,74.44
212,72.65
272,73.48
93,79.23
50,81.39
42,71.48
57,79.63
123,71.55
264,77.33
389,76.26
469,74.78
253,76.51
149,73.76
91,77.15
79,73.94
51,71.27
52,73.87
31,77.9
38,75.09
35,75.75
254,68.19
208,74.21
106,73.61
42,79.65
34,77.33
44,69.49
84,78.86
118,69.6
220,77.42
189,80.29
99,72.38
70,84.66
221,75.61
386,73.99
319,74.18
300,69.46
498,71.87
482,70.97
461,71.6
602,72.11
567,64.74
410,73.04
415,74.83
326,73.42
167,79.56
138,82.17
189,69.09
482,72.53
301,75.39
482,74.92
652,73.47
592,82.63
477,76.4
438,83.84
313,76.76
178,71.71
236,78.31
240,71.0
276,71.47
91,73.69
227,71.24
326,74.18
189,73.12
496,72.55
622,70.72
822,72.99
250,73.99
100,72.0
101,81.13
82,84.64
163,80.17
227,70.08
164,82.81
100,72.69
131,87.37
351,78.64
339,76.05
238,81.99
113,72.64
139,78.74
293,67.64
334,75.93
293,71.94
363,69.95
99,73.46
63,74.98
110,72.36
99,72.7
61,74.77
45,75.7
38,80.86
34,71.98
58,85.33
58,77.55
412,78.72
267,73.79
360,74.78
308,69.96
394,73.53
261,75.81
127,72.95
52,72.56
43,74.03
49,77.06
44,78.35
28,80.69
27,70.13
32,72.93
32,81.0
113,83.11
232,81.75
122,71.65
208,80.13
775,66.58
898,74.33
495,71.66
439,71.32
449,72.36
508,77.87
159,73.37
206,75.35
745,71.62
817,71.15
813,69.97
932,79.5
493,75.51
344,73.6
309,78.14
424,81.13
327,68.3
215,80.13
224,78.36
615,76.77
434,77.05
428,72.36
763,75.25
620,77.39
761,75.94
639,70.58
294,71.15
308,73.17
219,73.25
596,68.56
716,75.74
212,75.29
318,76.5
612,72.03
302,74.93
601,78.75
375,80.59
593,73.94
195,76.02
212,83.8
474,72.64
407,72.57
299,80.65
313,74.69
253,76.62
427,72.57
366,74.13
357,73.34
316,70.12
516,71.64
676,75.24
521,72.83
639,74.2
346,73.74
318,71.92
362,74.18
402,75.09
429,76.04
367,72.7
258,74.59
247,75.6
171,77.0
203,76.05
137,75.56
360,75.78
45,81.92
58,75.1
86,75.42
58,74.71
85,73.27
263,72.24
291,72.57
108,71.88
41,73.43
36,72.94
47,73.18
53,73.31
36,75.09
35,76.57
48,74.68
34,73.14
39,73.49
43,75.92
79,76.49
51,76.38
44,79.14
60,73.12
67,72.47
94,69.1
38,72.29
33,74.76
33,75.17
59,76.22
47,76.84
45,76.45
48,78.64
43,76.25
53,82.22
139,77.98
240,75.04
179,83.45
291,71.01
568,69.07
647,71.64
446,69.4
254,76.79
155,68.15
182,77.88
91,71.21
346,76.44
552,75.39
559,67.2
301,71.56
773,71.86
257,73.36
594,74.74
865,77.67
378,77.23
416,76.2
541,68.92
439,79.23
531,67.08
548,75.07
274,68.4
179,71.41
285,77.3
344,80.58
212,71.43
365,80.25
620,72.27
211,71.42
268,75.6
596,67.62
409,68.51
299,71.98
498,75.8
489,75.6
458,74.25
563,75.06
274,72.47
171,79.27
383,69.18
502,72.59
439,72.13
333,74.17
334,79.35
138,73.47
405,82.83
571,74.06
245,74.84
388,79.32
394,74.01
494,74.94
596,72.97
779,75.39
778,78.8
817,73.06
782,75.98
725,75.26
462,69.66
831,79.28
400,74.12
329,78.5
282,75.09
379,78.13
462,73.16
330,75.91
166,74.03
83,78.05
39,81.4
32,74.05
49,75.17
55,72.15
69,79.2
63,73.1
135,68.45
79,68.46
162,73.07
134,74.12
124,74.77
228,72.73
447,74.75
417,76.29
166,76.41
221,72.96
407,74.57
238,76.43
158,78.58
113,71.48
126,82.2
252,75.5
358,76.5
291,80.68
336,77.68
157,73.77
161,77.21
75,71.55
173,75.67
309,72.42
544,70.47
529,72.99
702,73.05
462,72.37
273,73.73
317,69.11
747,75.81
398,75.39
186,75.6
161,78.53
129,78.41
139,80.68
66,73.66
43,86.71
45,79.77
53,78.16
66,81.77
344,72.25
388,72.71
253,72.19
175,72.69
250,74.16
166,73.05
184,71.92
560,71.04
558,68.64
521,72.96
484,71.64
568,72.4
270,72.44
83,73.73
107,67.81
223,75.86
278,74.11
108,75.14
245,67.09
248,74.35
61,82.51
32,70.38
35,83.74
87,70.16
180,73.91
227,73.83
161,69.17
213,70.75
191,67.76
209,70.62
471,72.86
563,70.28
301,73.34
291,72.86
299,71.17
322,70.01
293,74.99
216,71.77
275,73.93
324,73.49
205,73.75
133,69.11
114,76.94
101,69.32
154,76.53
234,72.52
286,77.92
236,78.98
321,67.69
361,72.25
594,67.4
1005,73.14
321,74.89
78,79.26
49,74.81
78,72.68
120,73.81
104,75.27
48,77.16
49,75.52
41,80.79
50,80.84
151,80.36
83,83.18
65,81.61
113,77.48
248,80.65
378,74.16
237,77.7
84,70.48
64,70.7
35,74.87
42,75.59
55,74.37
81,80.02
61,74.54
102,72.2
40,75.57
33,78.09
32,75.66
40,70.07
31,75.64
33,81.98
34,75.74
88,70.5
257,80.84
90,76.54
51,83.4
52,79.21
105,70.4
99,79.67
71,72.44
81,76.73
115,71.1
85,71.38
42,74.75
49,74.34
41,74.24
40,75.27
80,75.7
121,73.39
477,73.86
143,76.08
52,80.66
47,86.75
184,76.17
219,69.04
338,78.72
609,71.67
60,82.62
60,79.7
131,81.27
141,71.49
429,72.02
887,70.22
580,75.46
94,74.59
288,77.83
311,72.24
205,74.39
75,74.75
54,77.1
45,80.03
69,82.1
54,87.72
162,80.87
421,77.74
405,68.53
210,67.61
280,79.3
500,71.46
180,80.62
115,70.55
859,75.31
839,72.72
557,73.1
304,75.9
604,69.88
533,73.23
347,74.28
290,68.45
209,72.82
132,74.82
255,71.71
93,77.3
44,82.25
101,69.3
146,78.63
184,72.63
81,72.81
91,83.2
78,69.4
196,82.16
354,69.43
564,75.16
742,71.86
358,76.38
145,71.69
125,73.75
212,70.75
191,74.81
513,71.25
697,71.46
244,75.35
190,73.97
217,73.1
295,74.86
223,69.36
154,72.49
312,73.55
320,74.24
283,76.85
277,79.55
195,72.91
222,80.58
378,70.75
301,74.99
167,85.97
804,77.28
600,77.6
117,76.06
60,72.63
59,69.31
112,74.68
95,73.2
46,73.87
35,74.91
33,75.08
49,75.55
63,74.78
51,77.05
54,78.74
112,69.59
66,70.78
71,71.14
70,73.87
65,70.55
132,70.04
120,73.07
43,74.17
52,70.14
34,77.2
35,74.24
34,71.21
31,75.59
40,77.48
44,77.64
40,71.51
45,82.99
64,72.79
41,82.56
71,70.25
125,74.1
99,73.28
60,81.56
62,71.19
136,78.73
136,70.27
165,69.17
299,74.2
149,75.62
149,72.79
204,75.11
128,74.36
148,74.47
178,74.75
177,77.4
236,75.05
388,73.65
526,71.12
532,76.03
374,76.78
321,72.96
448,83.95
329,71.15
441,73.6
734,74.46
856,74.33
343,78.75
125,71.25
82,74.19
59,78.99
37,75.21
50,76.17
159,71.24
168,68.78
330,73.9
446,67.64
419,72.0
593,72.68
326,73.08
423,72.24
515,74.22
444,75.36
247,72.59
268,80.6
279,69.62
72,74.58
83,86.58
328,75.2
500,78.71
510,73.67
630,69.23
599,74.28
566,72.82
475,70.42
487,72.7
578,74.6
154,74.54
119,74.96
81,74.51
60,76.21
110,74.94
138,73.77
80,74.86
44,78.75
61,75.54
64,79.45
169,77.64
235,68.84
